MOVIE_NUM,STIM_NUM,MOVIE_NAME,SCALE_FACTOR,OPEN_SCREEN,CLOSE_SCREEN,END_ISI
40,40,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_050_audVid.avi,,1472072593.8196,1472072594.3436,1472072595.3518
41,41,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_050_visOnly.avi,,1472072595.3524,1472072595.8755,1472072596.8846
42,42,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_050_visOnly.avi,,1472072596.8851,1472072597.4219,1472072598.4308
43,43,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_050_audVid.avi,,1472072598.4314,1472072599.0078,1472072600.0168
44,44,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_100_audVid_noisy.avi,,1472072600.0174,1472072600.541,1472072601.5493
45,45,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_025_visOnly.avi,,1472072601.5499,1472072602.0599,1472072603.0698
46,46,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_075_audVid.avi,,1472072603.0703,1472072603.5927,1472072604.6018
47,47,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_050_audOnly.avi,,1472072604.6023,1472072605.1123,1472072606.1213
48,48,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_100_visOnly.avi,,1472072606.1218,1472072606.6446,1472072607.6541
49,49,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_100_audOnly.avi,,1472072607.6546,1472072608.178,1472072609.1868
50,50,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_050_audVid.avi,,1472072609.1874,1472072609.7636,1472072610.7729
51,51,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_025_audOnly.avi,,1472072610.7736,1472072611.2965,1472072612.3057
52,52,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_100_audVid.avi,,1472072612.3062,1472072612.8293,1472072613.8385
53,53,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_100_audVid_noisy.avi,,1472072613.8392,1472072614.4286,1472072615.4378
54,54,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_075_audVid.avi,,1472072615.4384,1472072615.9747,1472072616.984
55,55,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_025_audVid.avi,,1472072616.9845,1472072617.4946,1472072618.5034
56,56,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_050_visOnly.avi,,1472072618.5041,1472072619.0269,1472072620.0364
57,57,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_100_visOnly.avi,,1472072620.0369,1472072620.5596,1472072621.569
58,58,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_025_visOnly.avi,,1472072621.5695,1472072622.1334,1472072623.1417
59,59,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_075_audVid.avi,,1472072623.1422,1472072623.6919,1472072624.7012
60,60,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_050_audVid.avi,,1472072624.7017,1472072625.2118,1472072626.2209
61,61,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_100_audOnly_noisy.avi,,1472072626.2216,1472072626.731,1472072627.7401
62,62,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_025_visOnly.avi,,1472072627.7406,1472072628.3168,1472072629.3261
63,63,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_075_audOnly.avi,,1472072629.3269,1472072629.8761,1472072630.8856
