1,54,/home/adam/Desktop/py_stimuli/JonesStimset/identity2rad_025_audOnly.avi,1345.6512711048126,1346.1767139434814,1347.254205942154,1,,,0
2,60,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_050_audVid.avi,1347.4562709331512,1347.981220960617,1348.9022040367126,2,,,
3,63,/home/adam/Desktop/py_stimuli/JonesStimset/identity1tan_050_audVid.avi,1349.1022350788116,1349.6188731193542,1350.7221510410309,1,1,0.017596006393432617,1
4,17,/home/adam/Desktop/py_stimuli/JonesStimset/identity6rad_025_audVid.avi,1350.9264600276947,1351.4405241012573,1352.512146949768,3,3,0.13373708724975586,1
5,70,/home/adam/Desktop/py_stimuli/JonesStimset/identity1rad_075_audOnly.avi,1352.7201240062714,1353.2452619075775,1354.2701559066772,0,,,
6,32,/home/adam/Desktop/py_stimuli/JonesStimset/identity6tan_050_visOnly.avi,1354.4733800888062,1354.9831759929657,1356.0398960113525,0,3,0.19098496437072754,0
7,20,/home/adam/Desktop/py_stimuli/JonesStimset/identity1tan_050_visOnly.avi,1356.25541806221,1356.7711579799652,1357.730523109436,1,1,0.042929887771606445,1
8,75,/home/adam/Desktop/py_stimuli/JonesStimset/identity1tan_075_visOnly.avi,1357.933044910431,1358.4591100215912,1359.5259289741516,0,0,0.5391569137573242,1
9,12,/home/adam/Desktop/py_stimuli/JonesStimset/identity5rad_075_visOnly.avi,1359.7300629615784,1360.2494881153107,1361.3314580917358,2,0,0.10068106651306152,0
10,51,/home/adam/Desktop/py_stimuli/JonesStimset/identity1tan_025_audOnly.avi,1361.538146018982,1362.0519790649414,1363.1279559135437,1,2,1.050173044204712,0
11,50,/home/adam/Desktop/py_stimuli/JonesStimset/identity2rad_025_visOnly.avi,1363.330327987671,1363.8565080165863,1364.8837640285492,1,3,0.10174798965454102,0
12,77,/home/adam/Desktop/py_stimuli/JonesStimset/identity1rad_100_visOnly.avi,1365.0945930480957,1365.6110689640045,1366.5406761169434,0,0,0.26718807220458984,1
13,26,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_025_audOnly.avi,1366.748398065567,1367.265692949295,1368.2301828861237,2,,,
14,40,/home/adam/Desktop/py_stimuli/JonesStimset/identity1tan_025_audVid.avi,1368.4660539627075,1368.9865560531616,1370.0036709308624,1,1,0.019513845443725586,1
15,15,/home/adam/Desktop/py_stimuli/JonesStimset/identity5rad_100_audVid.avi,1370.2097330093384,1370.7248029708862,1371.7687089443207,2,2,0.809359073638916,1
16,31,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_025_audVid.avi,1371.9725050926208,1372.4958820343018,1373.5377418994904,2,3,0.13439321517944336,0
17,27,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_075_audVid.avi,1373.7426691055298,1374.2669849395752,1375.3371369838715,1,1,0.06719517707824707,1
18,23,/home/adam/Desktop/py_stimuli/JonesStimset/identity2rad_050_audOnly.avi,1375.5422339439392,1376.05495095253,1377.0942060947418,1,,,
19,35,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_075_audOnly.avi,1377.2964849472046,1377.8108971118927,1378.8542120456696,1,,,
20,82,/home/adam/Desktop/py_stimuli/JonesStimset/identity6rad_025_audOnly.avi,1379.0687670707703,1379.581020116806,1380.5821359157562,3,,,
21,7,/home/adam/Desktop/py_stimuli/JonesStimset/identity1rad_050_audVid.avi,1380.7885429859161,1381.3020269870758,1382.2061269283295,0,,,
22,55,/home/adam/Desktop/py_stimuli/JonesStimset/identity5rad_025_audOnly.avi,1382.4101660251617,1382.9230298995972,1383.8623070716858,2,,,
23,16,/home/adam/Desktop/py_stimuli/JonesStimset/identity2rad_100_audOnly.avi,1384.0694069862366,1384.5942299365997,1385.5742309093475,1,,,
24,11,/home/adam/Desktop/py_stimuli/JonesStimset/identity5tan_075_audOnly.avi,1385.7760519981384,1386.2990601062775,1387.4222030639648,2,,,
25,79,/home/adam/Desktop/py_stimuli/JonesStimset/identity2rad_100_audVid.avi,1387.6392669677734,1388.1535580158234,1389.2204051017761,1,1,0.13260102272033691,1
26,41,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_025_visOnly.avi,1390.498451948166,1391.0116429328918,1391.9850919246674,2,3,0.09849286079406738,0
27,36,/home/adam/Desktop/py_stimuli/JonesStimset/identity6rad_050_audVid.avi,1393.2601709365845,1393.7849969863892,1394.722706079483,3,3,0.3411390781402588,1
28,66,/home/adam/Desktop/py_stimuli/JonesStimset/identity5rad_025_visOnly.avi,1395.0200018882751,1395.539542913437,1396.5136260986328,2,2,0.5946488380432129,1
29,78,/home/adam/Desktop/py_stimuli/JonesStimset/identity6rad_050_visOnly.avi,1396.8136179447174,1397.3278179168701,1398.3666789531708,3,3,0.2224259376525879,1
30,68,/home/adam/Desktop/py_stimuli/JonesStimset/identity2tan_075_visOnly.avi,1398.673089981079,1399.18288397789,1400.2110600471497,1,1,0.09539294242858887,1
31,13,/home/adam/Desktop/py_stimuli/JonesStimset/identity5tan_050_audVid.avi,1400.5594611167908,1401.0709609985352,1402.1385719776154,3,3,0.17525601387023926,1
32,38,/home/adam/Desktop/py_stimuli/JonesStimset/identity6rad_075_audVid.avi,1402.4308459758759,1402.9423100948334,1403.9021949768066,3,3,0.09575295448303223,1
33,21,/home/adam/Desktop/py_stimuli/JonesStimset/identity6rad_075_visOnly.avi,1404.2146830558777,1404.7307059764862,1405.750205039978,3,3,0.019476890563964844,1
